"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"NH","2 wk ahead cum death",104,131,27,60,0.380281690140845,"2020-04-26","2020-05-09"
"NH","3 wk ahead cum case",4161,3556,-605,1864,-0.357565011820331,"2020-04-26","2020-05-16"
"NH","3 wk ahead cum death",131,171,40,60,0.36036036036036,"2020-04-26","2020-05-16"
"NH","4 wk ahead cum case",5926,4089,-1837,1864,-0.82561797752809,"2020-04-26","2020-05-23"
"NH","4 wk ahead cum death",165,208,43,60,0.290540540540541,"2020-04-26","2020-05-23"
"NJ","1 wk ahead cum case",127743,123717,-4026,109038,-0.27426936439812,"2020-04-26","2020-05-02"
"NJ","1 wk ahead cum death",7652,7742,90,5938,0.0498891352549889,"2020-04-26","2020-05-02"
"NJ","2 wk ahead cum case",146891,137397,-9494,109038,-0.334779082478226,"2020-04-26","2020-05-09"
"NJ","2 wk ahead cum death",9598,9116,-482,5938,-0.151667715544368,"2020-04-26","2020-05-09"
"NJ","3 wk ahead cum case",163099,145089,-18010,109038,-0.499570053535269,"2020-04-26","2020-05-16"
"NJ","3 wk ahead cum death",11374,10261,-1113,5938,-0.257460097154754,"2020-04-26","2020-05-16"
"NJ","4 wk ahead cum case",176105,153140,-22965,109038,-0.520724683687815,"2020-04-26","2020-05-23"
"NJ","4 wk ahead cum death",12964,11082,-1882,5938,-0.365863141524106,"2020-04-26","2020-05-23"
"NM","1 wk ahead cum case",3611,3732,121,2726,0.120278330019881,"2020-04-26","2020-05-02"
"NM","1 wk ahead cum death",143,138,-5,99,-0.128205128205128,"2020-04-26","2020-05-02"
"NM","2 wk ahead cum case",4780,4778,-2,2726,-0.000974658869395711,"2020-04-26","2020-05-09"
"NM","2 wk ahead cum death",208,191,-17,99,-0.184782608695652,"2020-04-26","2020-05-09"
"NM","3 wk ahead cum case",6223,5847,-376,2726,-0.120474206984941,"2020-04-26","2020-05-16"
"NM","3 wk ahead cum death",292,259,-33,99,-0.20625,"2020-04-26","2020-05-16"
"NM","4 wk ahead cum case",8448,6625,-1823,2726,-0.46755578353424,"2020-04-26","2020-05-23"
"NM","4 wk ahead cum death",430,302,-128,99,-0.630541871921182,"2020-04-26","2020-05-23"
